point_type,boundary_label,x,y,phi,target,boundary_error,pde_residual,pde_loss,energy_density,grad_norm,tau_eq,total_point_loss
interior,,6.6483515501e-01,5.4945056327e-03,3.3516655921e-01,nan,nan,2.0716028677e-01,4.2915384416e-02,1.8815724300e-01,9.9954412126e-01,9.9954412126e-01,4.2915384416e-02
interior,,6.7032968998e-01,5.4945056327e-03,3.2967393157e-01,nan,nan,1.9349478843e-01,3.7440233148e-02,1.8823059406e-01,9.9977703594e-01,9.9977703594e-01,3.7440233148e-02
interior,,6.7582416534e-01,5.4945056327e-03,3.2417996034e-01,nan,nan,1.7314602494e-01,2.9979545953e-02,1.8831161408e-01,1.0000342707e+00,1.0000342707e+00,2.9979545953e-02
interior,,6.8131870031e-01,5.4945056327e-03,3.1868471853e-01,nan,nan,1.5268861503e-01,2.3313813160e-02,1.8836368854e-01,1.0001995871e+00,1.0001995871e+00,2.3313813160e-02
interior,,6.8681317568e-01,5.4945056327e-03,3.1318905618e-01,nan,nan,1.3403130592e-01,1.7964390967e-02,1.8836579345e-01,1.0002062691e+00,1.0002062691e+00,1.7964390967e-02
interior,,6.9230771065e-01,5.4945056327e-03,3.0769364438e-01,nan,nan,1.0904880097e-01,1.1891640993e-02,1.8833423353e-01,1.0001060804e+00,1.0001060804e+00,1.1891640993e-02
interior,,6.9780218601e-01,5.4945056327e-03,3.0219880919e-01,nan,nan,6.7011786415e-02,4.4905795185e-03,1.8831423492e-01,1.0000425911e+00,1.0000425911e+00,4.4905795185e-03
interior,,7.0329672098e-01,5.4945056327e-03,2.9670393562e-01,nan,nan,1.1966700835e-02,1.4320192888e-04,1.8833158293e-01,1.0000976657e+00,1.0000976657e+00,1.4320192888e-04
interior,,7.0879119635e-01,5.4945056327e-03,2.9120870048e-01,nan,nan,-3.1834028536e-02,1.0134053728e-03,1.8835202000e-01,1.0001625452e+00,1.0001625452e+00,1.0134053728e-03
interior,,7.1428573132e-01,5.4945056327e-03,2.8571351052e-01,nan,nan,-3.8483333421e-02,1.4809669512e-03,1.8831154152e-01,1.0000340403e+00,1.0000340403e+00,1.4809669512e-03
interior,,7.1978020668e-01,5.4945056327e-03,2.8021968852e-01,nan,nan,-6.8792220323e-03,4.7323695769e-05,1.8821168405e-01,9.9971699277e-01,9.9971699277e-01,4.7323695769e-05
interior,,7.2527474165e-01,5.4945056327e-03,2.7472743193e-01,nan,nan,3.5929643079e-02,1.2909392518e-03,1.8814237758e-01,9.9949691516e-01,9.9949691516e-01,1.2909392518e-03
interior,,7.3076921701e-01,5.4945056327e-03,2.6923561132e-01,nan,nan,6.3460175866e-02,4.0271939210e-03,1.8817238800e-01,9.9959221402e-01,9.9959221402e-01,4.0271939210e-03
interior,,7.3626375198e-01,5.4945056327e-03,2.6374241557e-01,nan,nan,6.6146446041e-02,4.3753523239e-03,1.8828499199e-01,9.9994975043e-01,9.9994975043e-01,4.3753523239e-03
